title,pdf_url,excel_url,source,year
Number+of+Photography+Shops+and+Workers+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Number+of+Photography+Shops+and+Workers+2018+AR.pdf/9a8e8fe7-c61f-0501-755a-c9c33b541149?t=1734952270212,,Saudi Statistics,2018
Number+of+Photography+Shops+and+Workers+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Number+of+Photography+Shops+and+Workers+2018+AR.xlsx/9027a03d-b937-d695-3bd4-956915100e0d?t=1734952278141,Saudi Statistics,2018
Digital+Economy+Statistics+2024+-+AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/Digital+Economy+Statistics+2024+-+AR.pdf/7a7a3284-de5a-1ce3-b2c2-31491c4e7039?t=1767157824881,,Saudi Statistics,2024
Digital+Economy+Statistics+2024-+AR-EN+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/Digital+Economy+Statistics+2024-+AR-EN+%281%29.xlsx/79b6880b-2d19-fbab-2c87-fc13f9255aa8?t=1767155869123,Saudi Statistics,2024
Digital+Economy+Statistics+2023+AR+%281%29.pdf,https://www.stats.gov.sa/documents/20117/2435267/Digital+Economy+Statistics+2023+AR+%281%29.pdf/95957f3d-c4b9-25e8-3a7a-8119b5b03126?t=1748253595444,,Saudi Statistics,2023
Digital+Economy+Statistics+2023+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/Digital+Economy+Statistics+2023+AR.xlsx/5e22bf30-5679-a8cf-cced-517de54ed863?t=1748020807993,Saudi Statistics,2023
Digital+Economy+Statistics+2022AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Digital+Economy+Statistics+2022AR.pdf/1325bd61-b838-f6aa-ef52-b1792a0c0791?t=1734038533393,,Saudi Statistics,2022
Digital+Economy+Statistics+2022AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Digital+Economy+Statistics+2022AR.xlsx/2d7b4181-a5ab-1fbe-ede6-40801754c32a?t=1734038542109,Saudi Statistics,2022
LMS++Q4_2025_PR_AR+Press+Release%281-3%29+%281%29.pdf,https://www.stats.gov.sa/documents/20117/2435273/LMS++Q4_2025_PR_AR+Press+Release%281-3%29+%281%29.pdf/a5cc0dad-7e11-d043-dd8a-2ee41b6c6a57?t=1774937353088,,Saudi Statistics,2025
Labor+Market+Statistics+Q4+2025+AR+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/Labor+Market+Statistics+Q4+2025+AR+%281%29.xlsx/880e1667-8d01-231d-0529-32a9a0fc9176?t=1774932582746,Saudi Statistics,2025
